case_id	check_a	check_b	a_pass	b_pass	expected_joint	expected_verdict_class	sample	source_format	family	agency	year	page_a	page_b	command_a	command_b	field_a	field_b	observed_a	observed_b	honest_claim	contract_source	not_abstain	not_repeat
v-shadow-030721	ir-diff	verify-pages	1	1	1	JOINT_PASS	samples/해양수산부/공고/case-01905-75-2023.hwpx	hwpx	공고	해양수산부	2023	42	42	rhwp ir-diff --json	rhwp verify --expect-pages --json	identical	failCount	true	0	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:verify	1	1
v-shadow-030722	ir-diff	verify-pages	1	0	0	SHADOW_A_ONLY	samples/법제처/기안문/case-01906-76-2024.hwp	hwp	기안문	법제처	2024	43	47	rhwp ir-diff --json	rhwp verify --expect-pages --json	identical	failCount	true	1	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:verify	1	1
v-shadow-030723	ir-diff	verify-pages	0	1	0	SHADOW_B_ONLY	samples/행정안전부/편람/case-01906-77-2025.hwpx	hwpx	편람	행정안전부	2025	45	44	rhwp ir-diff --json	rhwp verify --expect-pages --json	identical	failCount	false	0	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:verify	1	1
v-shadow-030724	ir-diff	verify-pages	0	0	0	JOINT_BOTH_FAIL	samples/국세청/시험지/case-01906-78-2026.hwp	hwp	시험지	국세청	2026	47	51	rhwp ir-diff --json	rhwp verify --expect-pages --json	identical	failCount	false	1	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:verify	1	1
v-shadow-030725	ir-diff	fill-verify	1	1	1	JOINT_PASS	samples/대법원/훈령/case-01906-79-2016.hwpx	hwpx	훈령	대법원	2016	46	46	rhwp ir-diff --json	rhwp fill-fields --verify --json	identical	verify.identical	true	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:fill-fields	1	1
v-shadow-030726	ir-diff	fill-verify	1	0	0	SHADOW_A_ONLY	samples/특허청/고시/case-01906-80-2017.hwp	hwp	고시	특허청	2017	47	50	rhwp ir-diff --json	rhwp fill-fields --verify --json	identical	verify.identical	true	false	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:fill-fields	1	1
v-shadow-030727	ir-diff	fill-verify	0	1	0	SHADOW_B_ONLY	samples/교육부/공고문/case-01906-81-2018.hwpx	hwpx	공고문	교육부	2018	50	48	rhwp ir-diff --json	rhwp fill-fields --verify --json	identical	verify.identical	false	true	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:fill-fields	1	1
v-shadow-030728	ir-diff	fill-verify	0	0	0	JOINT_BOTH_FAIL	samples/보건복지부/회의록/case-01906-82-2019.hwp	hwp	회의록	보건복지부	2019	52	54	rhwp ir-diff --json	rhwp fill-fields --verify --json	identical	verify.identical	false	false	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:fill-fields	1	1
v-shadow-030729	ir-diff	layout-anomaly	1	1	1	JOINT_PASS	samples/국토교통부/예산서/case-01906-83-2020.hwpx	hwpx	예산서	국토교통부	2020	50	50	rhwp ir-diff --json	rhwp layout-anomaly --json	identical	hasSignal	true	false	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:layout-anomaly	1	1
v-shadow-030730	ir-diff	layout-anomaly	1	0	0	SHADOW_A_ONLY	samples/고용노동부/결산서/case-01906-84-2021.hwp	hwp	결산서	고용노동부	2021	51	53	rhwp ir-diff --json	rhwp layout-anomaly --json	identical	hasSignal	true	true	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:layout-anomaly	1	1
v-shadow-030731	ir-diff	layout-anomaly	0	1	0	SHADOW_B_ONLY	samples/외교부/계약서/case-01906-85-2022.hwpx	hwpx	계약서	외교부	2022	55	52	rhwp ir-diff --json	rhwp layout-anomaly --json	identical	hasSignal	false	false	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:layout-anomaly	1	1
v-shadow-030732	ir-diff	layout-anomaly	0	0	0	JOINT_BOTH_FAIL	samples/기획재정부/용역보고서/case-01906-86-2023.hwp	hwp	용역보고서	기획재정부	2023	54	57	rhwp ir-diff --json	rhwp layout-anomaly --json	identical	hasSignal	false	true	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:layout-anomaly	1	1
v-shadow-030733	ir-diff	render-diff	1	1	1	JOINT_PASS	samples/공정거래위원회/학술논문/case-01906-87-2024.hwpx	hwpx	학술논문	공정거래위원회	2024	1	1	rhwp ir-diff --json	rhwp render-diff --json	identical	pageCountMismatch	true	false	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:render-diff	1	1
v-shadow-030734	ir-diff	render-diff	1	0	0	SHADOW_A_ONLY	samples/금융위원회/입법예고/case-01906-88-2025.hwp	hwp	입법예고	금융위원회	2025	2	8	rhwp ir-diff --json	rhwp render-diff --json	identical	pageCountMismatch	true	true	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:render-diff	1	1
v-shadow-030735	ir-diff	render-diff	0	1	0	SHADOW_B_ONLY	samples/방송통신위원회/보도자료/case-01906-89-2026.hwpx	hwpx	보도자료	방송통신위원회	2026	4	3	rhwp ir-diff --json	rhwp render-diff --json	identical	pageCountMismatch	false	false	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:render-diff	1	1
v-shadow-030736	ir-diff	render-diff	0	0	0	JOINT_BOTH_FAIL	samples/개인정보보호위원회/내부결재/case-01906-90-2016.hwp	hwp	내부결재	개인정보보호위원회	2016	6	7	rhwp ir-diff --json	rhwp render-diff --json	identical	pageCountMismatch	false	true	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:render-diff	1	1
v-shadow-030737	ir-diff	dump-pages	1	1	1	JOINT_PASS	samples/국민권익위원회/수신문서/case-01906-91-2017.hwpx	hwpx	수신문서	국민권익위원회	2017	5	5	rhwp ir-diff --json	rhwp dump-pages --json	identical	pageCount	true	5	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:dump-pages	1	1
v-shadow-030738	ir-diff	dump-pages	1	0	0	SHADOW_A_ONLY	samples/국가인권위원회/발신문서/case-01906-92-2018.hwp	hwp	발신문서	국가인권위원회	2018	6	11	rhwp ir-diff --json	rhwp dump-pages --json	identical	pageCount	true	11+1	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:dump-pages	1	1
v-shadow-030739	ir-diff	dump-pages	0	1	0	SHADOW_B_ONLY	samples/통계청/회의안건/case-01906-93-2019.hwpx	hwpx	회의안건	통계청	2019	9	7	rhwp ir-diff --json	rhwp dump-pages --json	identical	pageCount	false	7	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:dump-pages	1	1
v-shadow-030740	ir-diff	dump-pages	0	0	0	JOINT_BOTH_FAIL	samples/기상청/심사평가/case-01906-94-2020.hwp	hwp	심사평가	기상청	2020	11	10	rhwp ir-diff --json	rhwp dump-pages --json	identical	pageCount	false	10+1	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:dump-pages	1	1
v-shadow-030741	ir-diff	info	1	1	1	JOINT_PASS	samples/관세청/현장점검/case-01906-95-2021.hwpx	hwpx	현장점검	관세청	2021	9	9	rhwp ir-diff --json	rhwp info --json	identical	pageCount	true	9	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:info	1	1
v-shadow-030742	ir-diff	info	1	0	0	SHADOW_A_ONLY	samples/검찰청/안전관리/case-01906-96-2022.hwp	hwp	안전관리	검찰청	2022	10	14	rhwp ir-diff --json	rhwp info --json	identical	pageCount	true	14+1	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:info	1	1
v-shadow-030743	ir-diff	info	0	1	0	SHADOW_B_ONLY	samples/경찰청/개인정보/case-01906-00-2023.hwpx	hwpx	개인정보	경찰청	2023	14	11	rhwp ir-diff --json	rhwp info --json	identical	pageCount	false	11	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:info	1	1
v-shadow-030744	ir-diff	info	0	0	0	JOINT_BOTH_FAIL	samples/소방청/정보공개/case-01906-01-2024.hwp	hwp	정보공개	소방청	2024	13	18	rhwp ir-diff --json	rhwp info --json	identical	pageCount	false	18+1	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:info	1	1
v-shadow-030745	ir-diff	inspect-hidden	1	1	1	JOINT_PASS	samples/해양경찰청/민원회신/case-01906-02-2025.hwpx	hwpx	민원회신	해양경찰청	2025	13	13	rhwp ir-diff --json	rhwp inspect hidden-text --json	identical	clean	true	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:inspect hidden-text	1	1
