case_id	check_a	check_b	a_pass	b_pass	expected_joint	expected_verdict_class	sample	source_format	family	agency	year	page_a	page_b	command_a	command_b	field_a	field_b	observed_a	observed_b	honest_claim	contract_source	not_abstain	not_repeat
v-shadow-038401	inspect-injection	inspect-unicode	1	1	1	JOINT_PASS	samples/소방청/정보공개/case-02366-74-2026.hwp	hwp	정보공개	소방청	2026	51	51	rhwp inspect injection --json	rhwp inspect unicode --json	clean	clean	true	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:inspect injection|src/main.rs:inspect unicode	1	1
v-shadow-038402	inspect-injection	inspect-unicode	1	0	0	SHADOW_A_ONLY	samples/해양경찰청/민원회신/case-02366-75-2016.hwpx	hwpx	민원회신	해양경찰청	2016	52	54	rhwp inspect injection --json	rhwp inspect unicode --json	clean	clean	true	false	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:inspect injection|src/main.rs:inspect unicode	1	1
v-shadow-038403	inspect-injection	inspect-unicode	0	1	0	SHADOW_B_ONLY	samples/병무청/훈령별표/case-02366-76-2017.hwp	hwp	훈령별표	병무청	2017	55	53	rhwp inspect injection --json	rhwp inspect unicode --json	clean	clean	false	true	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:inspect injection|src/main.rs:inspect unicode	1	1
v-shadow-038404	inspect-injection	inspect-unicode	0	0	0	JOINT_BOTH_FAIL	samples/산림청/질의회신/case-02366-77-2018.hwpx	hwpx	질의회신	산림청	2018	4	5	rhwp inspect injection --json	rhwp inspect unicode --json	clean	clean	false	false	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:inspect injection|src/main.rs:inspect unicode	1	1
v-shadow-038405	inspect-injection	inspect-watermark	1	1	1	JOINT_PASS	samples/농촌진흥청/업무계획/case-02366-78-2019.hwp	hwp	업무계획	농촌진흥청	2019	2	2	rhwp inspect injection --json	rhwp inspect watermark --json	clean	clean	true	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:inspect injection|src/main.rs:inspect watermark	1	1
v-shadow-038406	inspect-injection	inspect-watermark	1	0	0	SHADOW_A_ONLY	samples/중소벤처기업부/점검표/case-02366-79-2020.hwpx	hwpx	점검표	중소벤처기업부	2020	3	9	rhwp inspect injection --json	rhwp inspect watermark --json	clean	clean	true	false	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:inspect injection|src/main.rs:inspect watermark	1	1
v-shadow-038407	inspect-injection	inspect-watermark	0	1	0	SHADOW_B_ONLY	samples/과학기술정보통신부/서식/case-02366-80-2021.hwp	hwp	서식	과학기술정보통신부	2021	7	4	rhwp inspect injection --json	rhwp inspect watermark --json	clean	clean	false	true	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:inspect injection|src/main.rs:inspect watermark	1	1
v-shadow-038408	inspect-injection	inspect-watermark	0	0	0	JOINT_BOTH_FAIL	samples/문화체육관광부/예규/case-02366-81-2022.hwpx	hwpx	예규	문화체육관광부	2022	6	8	rhwp inspect injection --json	rhwp inspect watermark --json	clean	clean	false	false	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:inspect injection|src/main.rs:inspect watermark	1	1
v-shadow-038409	inspect-injection	replay	1	1	1	JOINT_PASS	samples/환경부/지침/case-02366-82-2023.hwp	hwp	지침	환경부	2023	6	6	rhwp inspect injection --json	rhwp replay --json	clean	reproduced	true	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:inspect injection|src/main.rs:replay	1	1
v-shadow-038410	inspect-injection	replay	1	0	0	SHADOW_A_ONLY	samples/해양수산부/공고/case-02366-83-2024.hwpx	hwpx	공고	해양수산부	2024	7	12	rhwp inspect injection --json	rhwp replay --json	clean	reproduced	true	false	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:inspect injection|src/main.rs:replay	1	1
v-shadow-038411	inspect-injection	replay	0	1	0	SHADOW_B_ONLY	samples/법제처/기안문/case-02367-84-2025.hwp	hwp	기안문	법제처	2025	9	8	rhwp inspect injection --json	rhwp replay --json	clean	reproduced	false	true	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:inspect injection|src/main.rs:replay	1	1
v-shadow-038412	inspect-injection	replay	0	0	0	JOINT_BOTH_FAIL	samples/행정안전부/편람/case-02367-85-2026.hwpx	hwpx	편람	행정안전부	2026	11	11	rhwp inspect injection --json	rhwp replay --json	clean	reproduced	false	false	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:inspect injection|src/main.rs:replay	1	1
v-shadow-038413	inspect-injection	audit	1	1	1	JOINT_PASS	samples/국세청/시험지/case-02367-86-2016.hwp	hwp	시험지	국세청	2016	10	10	rhwp inspect injection --json	rhwp audit --json	clean	valid	true	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:inspect injection|src/main.rs:audit	1	1
v-shadow-038414	inspect-injection	audit	1	0	0	SHADOW_A_ONLY	samples/대법원/훈령/case-02367-87-2017.hwpx	hwpx	훈령	대법원	2017	11	15	rhwp inspect injection --json	rhwp audit --json	clean	valid	true	false	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:inspect injection|src/main.rs:audit	1	1
v-shadow-038415	inspect-injection	audit	0	1	0	SHADOW_B_ONLY	samples/특허청/고시/case-02367-88-2018.hwp	hwp	고시	특허청	2018	14	12	rhwp inspect injection --json	rhwp audit --json	clean	valid	false	true	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:inspect injection|src/main.rs:audit	1	1
v-shadow-038416	inspect-injection	audit	0	0	0	JOINT_BOTH_FAIL	samples/교육부/공고문/case-02367-89-2019.hwpx	hwpx	공고문	교육부	2019	16	19	rhwp inspect injection --json	rhwp audit --json	clean	valid	false	false	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:inspect injection|src/main.rs:audit	1	1
v-shadow-038417	inspect-injection	lineage	1	1	1	JOINT_PASS	samples/보건복지부/회의록/case-02367-90-2020.hwp	hwp	회의록	보건복지부	2020	14	14	rhwp inspect injection --json	rhwp lineage --json	clean	matches	true	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:inspect injection|src/main.rs:lineage	1	1
v-shadow-038418	inspect-injection	lineage	1	0	0	SHADOW_A_ONLY	samples/국토교통부/예산서/case-02367-91-2021.hwpx	hwpx	예산서	국토교통부	2021	15	18	rhwp inspect injection --json	rhwp lineage --json	clean	matches	true	false	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:inspect injection|src/main.rs:lineage	1	1
