case_id	check_a	check_b	a_pass	b_pass	expected_joint	expected_verdict_class	sample	source_format	family	agency	year	page_a	page_b	command_a	command_b	field_a	field_b	observed_a	observed_b	honest_claim	contract_source	not_abstain	not_repeat
v-shadow-107521	ir-diff	verify-pages	1	1	1	JOINT_PASS	samples/농촌진흥청/업무계획/case-06670-66-2016.hwp	hwp	업무계획	농촌진흥청	2016	36	36	rhwp ir-diff --json	rhwp verify --expect-pages --json	identical	failCount	true	0	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:verify	1	1
v-shadow-107522	ir-diff	verify-pages	1	0	0	SHADOW_A_ONLY	samples/중소벤처기업부/점검표/case-06670-67-2017.hwpx	hwpx	점검표	중소벤처기업부	2017	37	41	rhwp ir-diff --json	rhwp verify --expect-pages --json	identical	failCount	true	1	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:verify	1	1
v-shadow-107523	ir-diff	verify-pages	0	1	0	SHADOW_B_ONLY	samples/과학기술정보통신부/서식/case-06670-68-2018.hwp	hwp	서식	과학기술정보통신부	2018	39	38	rhwp ir-diff --json	rhwp verify --expect-pages --json	identical	failCount	false	0	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:verify	1	1
v-shadow-107524	ir-diff	verify-pages	0	0	0	JOINT_BOTH_FAIL	samples/문화체육관광부/예규/case-06670-69-2019.hwpx	hwpx	예규	문화체육관광부	2019	41	45	rhwp ir-diff --json	rhwp verify --expect-pages --json	identical	failCount	false	1	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:verify	1	1
v-shadow-107525	ir-diff	fill-verify	1	1	1	JOINT_PASS	samples/환경부/지침/case-06670-70-2020.hwp	hwp	지침	환경부	2020	40	40	rhwp ir-diff --json	rhwp fill-fields --verify --json	identical	verify.identical	true	true	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:fill-fields	1	1
v-shadow-107526	ir-diff	fill-verify	1	0	0	SHADOW_A_ONLY	samples/해양수산부/공고/case-06670-71-2021.hwpx	hwpx	공고	해양수산부	2021	41	44	rhwp ir-diff --json	rhwp fill-fields --verify --json	identical	verify.identical	true	false	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:fill-fields	1	1
v-shadow-107527	ir-diff	fill-verify	0	1	0	SHADOW_B_ONLY	samples/법제처/기안문/case-06671-72-2022.hwp	hwp	기안문	법제처	2022	44	42	rhwp ir-diff --json	rhwp fill-fields --verify --json	identical	verify.identical	false	true	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:fill-fields	1	1
v-shadow-107528	ir-diff	fill-verify	0	0	0	JOINT_BOTH_FAIL	samples/행정안전부/편람/case-06671-73-2023.hwpx	hwpx	편람	행정안전부	2023	46	48	rhwp ir-diff --json	rhwp fill-fields --verify --json	identical	verify.identical	false	false	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:fill-fields	1	1
v-shadow-107529	ir-diff	layout-anomaly	1	1	1	JOINT_PASS	samples/국세청/시험지/case-06671-74-2024.hwp	hwp	시험지	국세청	2024	44	44	rhwp ir-diff --json	rhwp layout-anomaly --json	identical	hasSignal	true	false	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:layout-anomaly	1	1
v-shadow-107530	ir-diff	layout-anomaly	1	0	0	SHADOW_A_ONLY	samples/대법원/훈령/case-06671-75-2025.hwpx	hwpx	훈령	대법원	2025	45	47	rhwp ir-diff --json	rhwp layout-anomaly --json	identical	hasSignal	true	true	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:layout-anomaly	1	1
v-shadow-107531	ir-diff	layout-anomaly	0	1	0	SHADOW_B_ONLY	samples/특허청/고시/case-06671-76-2026.hwp	hwp	고시	특허청	2026	49	46	rhwp ir-diff --json	rhwp layout-anomaly --json	identical	hasSignal	false	false	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:layout-anomaly	1	1
v-shadow-107532	ir-diff	layout-anomaly	0	0	0	JOINT_BOTH_FAIL	samples/교육부/공고문/case-06671-77-2016.hwpx	hwpx	공고문	교육부	2016	48	51	rhwp ir-diff --json	rhwp layout-anomaly --json	identical	hasSignal	false	true	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:layout-anomaly	1	1
v-shadow-107533	ir-diff	render-diff	1	1	1	JOINT_PASS	samples/보건복지부/회의록/case-06671-78-2017.hwp	hwp	회의록	보건복지부	2017	48	48	rhwp ir-diff --json	rhwp render-diff --json	identical	pageCountMismatch	true	false	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:render-diff	1	1
v-shadow-107534	ir-diff	render-diff	1	0	0	SHADOW_A_ONLY	samples/국토교통부/예산서/case-06671-79-2018.hwpx	hwpx	예산서	국토교통부	2018	49	55	rhwp ir-diff --json	rhwp render-diff --json	identical	pageCountMismatch	true	true	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:render-diff	1	1
v-shadow-107535	ir-diff	render-diff	0	1	0	SHADOW_B_ONLY	samples/고용노동부/결산서/case-06671-80-2019.hwp	hwp	결산서	고용노동부	2019	51	50	rhwp ir-diff --json	rhwp render-diff --json	identical	pageCountMismatch	false	false	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:render-diff	1	1
v-shadow-107536	ir-diff	render-diff	0	0	0	JOINT_BOTH_FAIL	samples/외교부/계약서/case-06671-81-2020.hwpx	hwpx	계약서	외교부	2020	53	54	rhwp ir-diff --json	rhwp render-diff --json	identical	pageCountMismatch	false	true	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:render-diff	1	1
v-shadow-107537	ir-diff	dump-pages	1	1	1	JOINT_PASS	samples/기획재정부/용역보고서/case-06671-82-2021.hwp	hwp	용역보고서	기획재정부	2021	52	52	rhwp ir-diff --json	rhwp dump-pages --json	identical	pageCount	true	52	서로 다른 기계 명령 두 개가 동시에 합격했다. 한쪽만의 합격이 아니므로 shadow agreement 로 합격한다.	src/main.rs:ir-diff|src/main.rs:dump-pages	1	1
v-shadow-107538	ir-diff	dump-pages	1	0	0	SHADOW_A_ONLY	samples/공정거래위원회/학술논문/case-06671-83-2022.hwpx	hwpx	학술논문	공정거래위원회	2022	53	58	rhwp ir-diff --json	rhwp dump-pages --json	identical	pageCount	true	58+1	검사 A 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:dump-pages	1	1
v-shadow-107539	ir-diff	dump-pages	0	1	0	SHADOW_B_ONLY	samples/금융위원회/입법예고/case-06671-84-2023.hwp	hwp	입법예고	금융위원회	2023	3	1	rhwp ir-diff --json	rhwp dump-pages --json	identical	pageCount	false	1	검사 B 만 합격했다. 한 명령의 합격은 합의가 아니므로 불합격이다.	src/main.rs:ir-diff|src/main.rs:dump-pages	1	1
v-shadow-107540	ir-diff	dump-pages	0	0	0	JOINT_BOTH_FAIL	samples/방송통신위원회/보도자료/case-06671-85-2024.hwpx	hwpx	보도자료	방송통신위원회	2024	5	4	rhwp ir-diff --json	rhwp dump-pages --json	identical	pageCount	false	4+1	서로 다른 명령 두 개가 모두 불합격이다. 합의 합격이 아니다.	src/main.rs:ir-diff|src/main.rs:dump-pages	1	1
