case_id	plan	expect_sha	reproduced	tool_version	verdict	mode	source	plan_sha256	output_sha256	expected_tool_version	input_path	action	exit_class	labor_accepted	evidence_kind	implementer_claim	sha_defect	family
v-replay-121801	로컬에서 재실행했고 성공했습니다. 해시 대조는 생략했습니다. case=121800 {"planVersion":"1.0","input":"samples/과학기술정보통신부/규정-121801.hwpx","output":"out/과학기술정보통신부/규정-121801-vreplay.hwpx","steps":[{"action":"replace_text","find":"제3조 필수기능","replace":"제3조 선택기능"}]}				PROSE_NOT_EVIDENCE	absent	prose	e1731c728381470587638981d3aa0b347e8b65d9fa5b0d4e0336b6e2db8d9053	ac32fe37a461ddebc2d9484420a1eaa23669e35d543aaa83d91b33ad3dc213c7			prose	2	0	none	과학기술정보통신부 규정 건(#121800)은 구현자가 끝났다고 썼다. 가족=PROSE_NOT_EVIDENCE. 이 문장은 판정에 쓰지 않는다.	missing	PROSE_NOT_EVIDENCE
v-replay-121802	{"planVersion":"1.0","input":"samples/행정안전부/규정-121802.hwp","output":"out/행정안전부/규정-121802-vreplay.hwp","steps":[{"action":"replace_text","find":"별표 2 제출서류","replace":"제3조 선택기능"}]}			0.8.3	NO_EXPECT_SHA	verify	replay	089f2bea36690044a4423b7cc0280bb1a910082eb5dc4a4b78ee7431b3447e25	40e5b2590ff4453e686ad0cf4eaf356ffbfa79013e8990bfacd4ddc0757b9ad2	0.8.3	samples/행정안전부/규정-121802.hwp	replace_text	2	0	none	행정안전부 규정 건(#121801)은 구현자가 끝났다고 썼다. 가족=NO_EXPECT_SHA. 이 문장은 판정에 쓰지 않는다.	missing	NO_EXPECT_SHA
v-replay-121803	{"planVersion":"1.0","input":"samples/기획재정부/규정-121803.hwp","output":"out/기획재정부/규정-121803-vreplay.hwp","steps":[{"action":"replace_text","find":"본 계약은 2024년에","replace":"제3조 선택기능"}]}	GGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGGG:121802	0	0.8.2	INVALID_EXPECT_SHA	verify	replay	206bdb7ea080ccc6a4446be31b92c0f2b91587b98a916204387210c2ad4e29c4	b0430037c423c19fb497c047728f141ccff6b40c250955e058a58c1bb63101e3	0.8.2	samples/기획재정부/규정-121803.hwp	replace_text	2	0	none	기획재정부 규정 건(#121802)은 구현자가 끝났다고 썼다. 가족=INVALID_EXPECT_SHA. 이 문장은 판정에 쓰지 않는다.	length	INVALID_EXPECT_SHA
v-replay-121804	{"planVersion":"1.0","input":"samples/법무부/규정-121804.hwp","output":"out/법무부/규정-121804-vreplay.hwp","steps":[{"action":"replace_text","find":"비밀유지 의무","replace":"별표 3 검수기준"}]}	cc83bd3519b0502898daa0ba3798eee4441ab35c3c95fad58b1060c96cc008ee	1		TOOL_VERSION_MISSING	verify	replay	be1986a9a4dcabb27c2e599226321684d076cd03429e3da0ded46dc412f8e79a	cc83bd3519b0502898daa0ba3798eee4441ab35c3c95fad58b1060c96cc008ee		samples/법무부/규정-121804.hwp	replace_text	2	0	none	법무부 규정 건(#121803)은 구현자가 끝났다고 썼다. 가족=TOOL_VERSION_MISSING. 이 문장은 판정에 쓰지 않는다.		TOOL_VERSION_MISSING
v-replay-121805	{"planVersion":"1.0","input":"samples/교육부/규정-121805.hwp","output":"out/교육부/규정-121805-vreplay.hwp","steps":[{"action":"replace_text","find":"개인정보 수집·이용","replace":"별표 3 검수기준"}]}	6f4a2c3b421001ff7886b93da70daec1fc0ce3b829616d018a45dd88aff15de9	1	0.8.0	TOOL_VERSION_MISMATCH	verify	replay	1e28e2904d6f3283851cfda6636f4dc2f3f786d47856a1db48fe2dbd3a45bca2	6f4a2c3b421001ff7886b93da70daec1fc0ce3b829616d018a45dd88aff15de9	0.7.13	samples/교육부/규정-121805.hwp	replace_text	3	0	reproduced_field	교육부 규정 건(#121804)은 구현자가 끝났다고 썼다. 가족=TOOL_VERSION_MISMATCH. 이 문장은 판정에 쓰지 않는다.		TOOL_VERSION_MISMATCH
v-replay-121806		ab7ac02e9aa4855fd92b0deee3960e185fd159e761ce42b586b2d03ead88fc3d	1	0.7.15	NO_PLAN	verify	replay		696db119768bf877939f15c274c200dd3fed3f89632048d91eb1f1dc80e378bc	0.7.15		missing	2	0	none	국방부 규정 건(#121805)은 구현자가 끝났다고 썼다. 가족=NO_PLAN. 이 문장은 판정에 쓰지 않는다.		NO_PLAN
v-replay-121807	{"planVersion":"1.0","input":"samples/보건복지부/규정-121807.hwp","output":"out/보건복지부/규정-121807-vreplay.hwp","steps":[{"action":"replace_text","find":"검토 의견 없음","replace":"본 계약은 2026년에"}]}	7922ccf526c9de4f748c9bd3095143316f060ade73ef7bdc80af0de6790caaa7	1	0.7.14	LABOR_ACCEPTED	verify	capsule	c5e48a36c6e926c287073cb00c8dee3c4e38c77afcf51e824004891cd2f06856	7922ccf526c9de4f748c9bd3095143316f060ade73ef7bdc80af0de6790caaa7	0.7.14	samples/보건복지부/규정-121807.hwp	replace_text	0	1	reproduced_field	보건복지부 규정 건(#121806)은 구현자가 끝났다고 썼다. 가족=LABOR_ACCEPTED. 이 문장은 판정에 쓰지 않는다.		LABOR_ACCEPTED
v-replay-121808	{"planVersion":"1.0","input":"samples/고용노동부/규정-121808.hwp","output":"out/고용노동부/규정-121808-vreplay.hwp","steps":[{"action":"fill_fields","values":{"필드2":"본 계약은 2026년에"}}]}	870678c0d517c6aa621bf75c2a21d362f4bbd37024e95e7dbd9dd0b86c4bfc7c	0	0.7.13	LABOR_REJECTED	verify	replay	5ae1fc0954e78cc97329ad4ee7dd997f1c95b1e69777d65803d0348c1d97a131	2357afef0a058222b1c8681fbbcb1394468874def26e726f2e9eb28b26cfc544	0.7.13	samples/고용노동부/규정-121808.hwp	fill_fields	3	0	reproduced_field	고용노동부 규정 건(#121807)은 구현자가 끝났다고 썼다. 가족=LABOR_REJECTED. 이 문장은 판정에 쓰지 않는다.		LABOR_REJECTED
v-replay-121809	{"planVersion":"1.0","input":"samples/국토교통부/규정-121809.hwp","output":"out/국토교통부/규정-121809-vreplay.hwp","steps":[{"action":"fill_fields","values":{"필드3":"본 계약은 2026년에"}}]}			0.8.4	ATTEST_NOT_THIRD_PARTY	attest	replay	4787db391c44f7019fe8462dfe064272a110ed5dbd2bc2e98f6cbb1f78d0ac46	183ed53b2f312bfba52076fd328bea7f00b090e3b49206a84f68756c18236fbd	0.8.4	samples/국토교통부/규정-121809.hwp	fill_fields	0	0	none	국토교통부 규정 건(#121808)은 구현자가 끝났다고 썼다. 가족=ATTEST_NOT_THIRD_PARTY. 이 문장은 판정에 쓰지 않는다.	missing	ATTEST_NOT_THIRD_PARTY
v-replay-121810	작업이 완료되었습니다. 산출물이 맞다고 확신합니다. case=121809 {"planVersion":"1.0","input":"samples/환경부/규정-121810.hwp","output":"out/환경부/규정-121810-vreplay.hwp","steps":[{"action":"fill_fields","values":{"필드4":"비밀유지 및 보안서약"}}]}				PROSE_NOT_EVIDENCE	absent	prose	76876f5b8b4b441b93b706dbe3230eceac3092aa5b2009565584a8f475011177	91eb5f2e3e6281dfdb62b6da79e84a9cb4c32ff9ee490d0cc8fbeb035aa0696c			prose	2	0	none	환경부 규정 건(#121809)은 구현자가 끝났다고 썼다. 가족=PROSE_NOT_EVIDENCE. 이 문장은 판정에 쓰지 않는다.	missing	PROSE_NOT_EVIDENCE
v-replay-121811	{"planVersion":"1.0","input":"samples/산업통상자원부/규정-121811.hwpx","output":"out/산업통상자원부/규정-121811-vreplay.hwpx","steps":[{"action":"fill_fields","values":{"필드5":"비밀유지 및 보안서약"}}]}			0.8.2	NO_EXPECT_SHA	verify	replay	e629f1ad9a1607c8885034c294724c2c2a0261f576034bd9b48bc24c875c99ac	d44e17b76b54b2d09f37057603d39af289ed40325039f696d021334b9fe8f044	0.8.2	samples/산업통상자원부/규정-121811.hwpx	fill_fields	2	0	none	산업통상자원부 규정 건(#121810)은 구현자가 끝났다고 썼다. 가족=NO_EXPECT_SHA. 이 문장은 판정에 쓰지 않는다.	missing	NO_EXPECT_SHA
v-replay-121812	{"planVersion":"1.0","input":"samples/중소벤처기업부/규정-121812.hwp","output":"out/중소벤처기업부/규정-121812-vreplay.hwp","steps":[{"action":"fill_fields","values":{"필드6":"비밀유지 및 보안서약"}}]}	0xabababababababababababababababababababababababababababababababab:121811	0	0.8.1	INVALID_EXPECT_SHA	verify	replay	aa490772920e6cc833bb6577936569de7e54b5f73d0907741a27fb2b09ce377c	871972d798a2909342241b683af71524b3dfde1732faaf575a7e8bfa356ffd65	0.8.1	samples/중소벤처기업부/규정-121812.hwp	fill_fields	2	0	none	중소벤처기업부 규정 건(#121811)은 구현자가 끝났다고 썼다. 가족=INVALID_EXPECT_SHA. 이 문장은 판정에 쓰지 않는다.	prefixed	INVALID_EXPECT_SHA
v-replay-121813	{"planVersion":"1.0","input":"samples/문화체육관광부/규정-121813.hwp","output":"out/문화체육관광부/규정-121813-vreplay.hwp","steps":[{"action":"fill_fields","values":{"필드7":"개인정보 파기 절차"}}]}	b86a9331bd93320b5b4c4fe0f538c47426688cec998925821aa79894afe9ff2f	1		TOOL_VERSION_MISSING	verify	replay	1bbf57341427cd0a1c7578a9db4cec15bdb552f2e5d63f05593cfdbd431326b1	b86a9331bd93320b5b4c4fe0f538c47426688cec998925821aa79894afe9ff2f		samples/문화체육관광부/규정-121813.hwp	fill_fields	2	0	none	문화체육관광부 규정 건(#121812)은 구현자가 끝났다고 썼다. 가족=TOOL_VERSION_MISSING. 이 문장은 판정에 쓰지 않는다.		TOOL_VERSION_MISSING
v-replay-121814	{"planVersion":"1.0","input":"samples/농림축산식품부/규정-121814.hwp","output":"out/농림축산식품부/규정-121814-vreplay.hwp","steps":[{"action":"fill_fields","values":{"필드8":"개인정보 파기 절차"}}]}	3ecedaea549fd840023f1a33c8cbe5f38eede7efd90d231fbc22212b6b904fd4	1	0.7.15	TOOL_VERSION_MISMATCH	verify	replay	86fcec5ef64758ae051a84edde0f31da32a2b669ff72da8c9e4ae0400ee6bee4	3ecedaea549fd840023f1a33c8cbe5f38eede7efd90d231fbc22212b6b904fd4	0.8.4	samples/농림축산식품부/규정-121814.hwp	fill_fields	3	0	reproduced_field	농림축산식품부 규정 건(#121813)은 구현자가 끝났다고 썼다. 가족=TOOL_VERSION_MISMATCH. 이 문장은 판정에 쓰지 않는다.		TOOL_VERSION_MISMATCH
v-replay-121815		736bdd5f4cb05f5256bc0cb81527299049bb2717a994367bffe8770a1f4ff5db	1	0.7.14	NO_PLAN	verify	replay		18a32deb1ebd6c6220050bde00819e5d02f5365d6abc561686e4236930cd10cf	0.7.14		missing	2	0	none	해양수산부 규정 건(#121814)은 구현자가 끝났다고 썼다. 가족=NO_PLAN. 이 문장은 판정에 쓰지 않는다.		NO_PLAN
v-replay-121816	{"planVersion":"1.0","input":"samples/여성가족부/규정-121816.hwpx","output":"out/여성가족부/규정-121816-vreplay.hwpx","steps":[{"action":"set_cell","table":3,"row":3,"col":7,"text":"납기 2026-12-15"}]}	0e0dd55db0af70591d21c9f1707daaa09fda92897caf86607c65b49d9d68d4f4	1	0.7.13	LABOR_ACCEPTED	verify	replay	41f90309abd38fdda8cd87ca4f620895bde632e8dc6c545bc05d0832386b1c65	0e0dd55db0af70591d21c9f1707daaa09fda92897caf86607c65b49d9d68d4f4	0.7.13	samples/여성가족부/규정-121816.hwpx	set_cell	0	1	reproduced_field	여성가족부 규정 건(#121815)은 구현자가 끝났다고 썼다. 가족=LABOR_ACCEPTED. 이 문장은 판정에 쓰지 않는다.		LABOR_ACCEPTED
v-replay-121817	{"planVersion":"1.0","input":"samples/통일부/규정-121817.hwp","output":"out/통일부/규정-121817-vreplay.hwp","steps":[{"action":"set_cell","table":0,"row":4,"col":0,"text":"납기 2026-12-15"}]}	252213780f9bff8a2dd6c8e4986e2b2825ce37ba9d8c3075d50b7d139480e736	0	0.8.4	LABOR_REJECTED	verify	replay	4a22d2a672a2b57206b9afa356e373269a1e7ecce3abde3430d85845e5eb7608	2b80570a2d970716cc79ee7676ad1e014c096c428728b17a9286eac6bb429afc	0.8.4	samples/통일부/규정-121817.hwp	set_cell	3	0	reproduced_field	통일부 규정 건(#121816)은 구현자가 끝났다고 썼다. 가족=LABOR_REJECTED. 이 문장은 판정에 쓰지 않는다.		LABOR_REJECTED
