case_id	plan	expect_sha	reproduced	tool_version	verdict	mode	source	plan_sha256	output_sha256	expected_tool_version	input_path	action	exit_class	labor_accepted	evidence_kind	implementer_claim	sha_defect	family
v-replay-037801	{"planVersion":"1.0","input":"samples/과학기술정보통신부/훈령-037801.hwpx","output":"out/과학기술정보통신부/훈령-037801-vreplay.hwpx","steps":[{"action":"replace_text","find":"제3조 필수기능","replace":"제3조 선택기능"}]}	c1b33c22c76fb5d6d79eafd289c3c2c34a53defa60ed9a6201c5f6ab3902c7a8	1	0.8.4	LABOR_ACCEPTED	verify	capsule	4f1131119ab616b34de77c0ed9d016ff1c1be64ccc3f72372a5ccc8d2a67bd5e	c1b33c22c76fb5d6d79eafd289c3c2c34a53defa60ed9a6201c5f6ab3902c7a8	0.8.4	samples/과학기술정보통신부/훈령-037801.hwpx	replace_text	0	1	reproduced_field	과학기술정보통신부 훈령 건(#037800)은 구현자가 끝났다고 썼다. 가족=LABOR_ACCEPTED. 이 문장은 판정에 쓰지 않는다.		LABOR_ACCEPTED
v-replay-037802	{"planVersion":"1.0","input":"samples/행정안전부/훈령-037802.hwp","output":"out/행정안전부/훈령-037802-vreplay.hwp","steps":[{"action":"replace_text","find":"별표 2 제출서류","replace":"제3조 선택기능"}]}	dc5d63d71509b70729334aa72ecb66390903c99765ae6c77111a75891d91f113	0	0.8.3	LABOR_REJECTED	verify	replay	025f2d44e2e260306a29b39bae700cd783c86063f2780ca5f66c6f02ca01a8de	1d56a92825af81426a715be19a8ebdc55c8ae94ef089941e9eb465f7f3bc8b9b	0.8.3	samples/행정안전부/훈령-037802.hwp	replace_text	3	0	reproduced_field	행정안전부 훈령 건(#037801)은 구현자가 끝났다고 썼다. 가족=LABOR_REJECTED. 이 문장은 판정에 쓰지 않는다.		LABOR_REJECTED
v-replay-037803	{"planVersion":"1.0","input":"samples/기획재정부/훈령-037803.hwp","output":"out/기획재정부/훈령-037803-vreplay.hwp","steps":[{"action":"replace_text","find":"본 계약은 2024년에","replace":"제3조 선택기능"}]}			0.8.2	ATTEST_NOT_THIRD_PARTY	attest	replay	fbe65d6bb62602ce964d70e05086e84c354a04bd858cbb75de639a05e0f06cb1	0de96f7bbe7dd31b612d8bb8c7b1274e957e1a9f342fd7cba0700ec579420f0a	0.8.2	samples/기획재정부/훈령-037803.hwp	replace_text	0	0	none	기획재정부 훈령 건(#037802)은 구현자가 끝났다고 썼다. 가족=ATTEST_NOT_THIRD_PARTY. 이 문장은 판정에 쓰지 않는다.	missing	ATTEST_NOT_THIRD_PARTY
v-replay-037804	attest 영수증만 발급했지만 제3자 검증과 같다고 봅니다. case=037803 {"planVersion":"1.0","input":"samples/법무부/훈령-037804.hwp","output":"out/법무부/훈령-037804-vreplay.hwp","steps":[{"action":"replace_text","find":"비밀유지 의무","replace":"별표 3 검수기준"}]}				PROSE_NOT_EVIDENCE	absent	prose	bcaf81f8b30423d8673d971f1985df4c7895076e320521d2a5b4bffb39c87050	fa3224c818b4669234d4cd935939404f2b04556a45ead360c9d38271485514b4			prose	2	0	none	법무부 훈령 건(#037803)은 구현자가 끝났다고 썼다. 가족=PROSE_NOT_EVIDENCE. 이 문장은 판정에 쓰지 않는다.	missing	PROSE_NOT_EVIDENCE
v-replay-037805	{"planVersion":"1.0","input":"samples/교육부/훈령-037805.hwp","output":"out/교육부/훈령-037805-vreplay.hwp","steps":[{"action":"replace_text","find":"개인정보 수집·이용","replace":"별표 3 검수기준"}]}			0.8.0	NO_EXPECT_SHA	verify	replay	e1c538d5ccab081591cfe1f5cb90e6c9d78955234906e68589e0c5b1cbeaeddd	332cef026b1ff5cddc3fff607d5f37c8921a74928a95098ef92cf75f56dc6a9a	0.8.0	samples/교육부/훈령-037805.hwp	replace_text	2	0	none	교육부 훈령 건(#037804)은 구현자가 끝났다고 썼다. 가족=NO_EXPECT_SHA. 이 문장은 판정에 쓰지 않는다.	missing	NO_EXPECT_SHA
v-replay-037806	{"planVersion":"1.0","input":"samples/국방부/훈령-037806.hwpx","output":"out/국방부/훈령-037806-vreplay.hwpx","steps":[{"action":"replace_text","find":"납기 2025-06-30","replace":"별표 3 검수기준"}]}	 aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa:037805	0	0.7.15	INVALID_EXPECT_SHA	verify	replay	06e7b81058f8d8f0c5848e0e58731e69595990b1328274ef063c12d9953cc030	9c7649eb56b7e76b42576b270a90946cbf1979c1f567b513a7c54fd588c92408	0.7.15	samples/국방부/훈령-037806.hwpx	replace_text	2	0	none	국방부 훈령 건(#037805)은 구현자가 끝났다고 썼다. 가족=INVALID_EXPECT_SHA. 이 문장은 판정에 쓰지 않는다.	whitespace	INVALID_EXPECT_SHA
v-replay-037807	{"planVersion":"1.0","input":"samples/보건복지부/훈령-037807.hwp","output":"out/보건복지부/훈령-037807-vreplay.hwp","steps":[{"action":"replace_text","find":"검토 의견 없음","replace":"본 계약은 2026년에"}]}	c7334fb947c8e33d4a93dc5c866dcd81ff017b7f556e1f749993877e4ec687a7	1		TOOL_VERSION_MISSING	verify	replay	ec42e32af262e1fe37bf5925fd85bcdbfcd61c963cc94dbc78bc9a06312c24ec	c7334fb947c8e33d4a93dc5c866dcd81ff017b7f556e1f749993877e4ec687a7		samples/보건복지부/훈령-037807.hwp	replace_text	2	0	none	보건복지부 훈령 건(#037806)은 구현자가 끝났다고 썼다. 가족=TOOL_VERSION_MISSING. 이 문장은 판정에 쓰지 않는다.		TOOL_VERSION_MISSING
v-replay-037808	{"planVersion":"1.0","input":"samples/고용노동부/훈령-037808.hwp","output":"out/고용노동부/훈령-037808-vreplay.hwp","steps":[{"action":"fill_fields","values":{"필드16":"본 계약은 2026년에"}}]}	17025bda6cda9ed367f06a8cf66ea91e14f515b53a1805b7713bd6d6c0d10243	1	0.7.13	TOOL_VERSION_MISMATCH	verify	replay	733a2ad6ad5885c042e8ef379a0d5cc43f312b1d0f66b2bfb63e659fe19a4b55	17025bda6cda9ed367f06a8cf66ea91e14f515b53a1805b7713bd6d6c0d10243	0.8.2	samples/고용노동부/훈령-037808.hwp	fill_fields	3	0	reproduced_field	고용노동부 훈령 건(#037807)은 구현자가 끝났다고 썼다. 가족=TOOL_VERSION_MISMATCH. 이 문장은 판정에 쓰지 않는다.		TOOL_VERSION_MISMATCH
v-replay-037809		c355ca240adf8336d7dda69ea88767e332a7ae6614da267d1c62832c8121e430	1	0.8.4	NO_PLAN	verify	replay		89c3d62a011cd04b3c1ef640480633b4a588f3337cc27c9705e7998c3894f4d8	0.8.4		missing	2	0	none	국토교통부 훈령 건(#037808)은 구현자가 끝났다고 썼다. 가족=NO_PLAN. 이 문장은 판정에 쓰지 않는다.		NO_PLAN
v-replay-037810	{"planVersion":"1.0","input":"samples/환경부/훈령-037810.hwp","output":"out/환경부/훈령-037810-vreplay.hwp","steps":[{"action":"fill_fields","values":{"필드1":"비밀유지 및 보안서약"}}]}	bfa68df7628a18d2b878145bb6ad500cf755e7802e1697eec3a9e06458566add	1	0.8.3	LABOR_ACCEPTED	verify	replay	f76cc483a60837ce6ff826e7fda304928115a3059d4678afd4b06b65e23c1a02	bfa68df7628a18d2b878145bb6ad500cf755e7802e1697eec3a9e06458566add	0.8.3	samples/환경부/훈령-037810.hwp	fill_fields	0	1	reproduced_field	환경부 훈령 건(#037809)은 구현자가 끝났다고 썼다. 가족=LABOR_ACCEPTED. 이 문장은 판정에 쓰지 않는다.		LABOR_ACCEPTED
v-replay-037811	{"planVersion":"1.0","input":"samples/산업통상자원부/훈령-037811.hwpx","output":"out/산업통상자원부/훈령-037811-vreplay.hwpx","steps":[{"action":"fill_fields","values":{"필드2":"비밀유지 및 보안서약"}}]}	f6739f483ad13e5b2363c5e0a9c11b9a1febdd4903f1f53219d58538b350224a	0	0.8.2	LABOR_REJECTED	verify	replay	beb73b4748ec55bf6cf7105daf02553f5b70fb2b6da0c5c69dd94132599b9fc6	3a3a331259c1eb4d3277d6bb340a0b3fb1236b652b5b2e921f6371cc6ee6bff9	0.8.2	samples/산업통상자원부/훈령-037811.hwpx	fill_fields	3	0	reproduced_field	산업통상자원부 훈령 건(#037810)은 구현자가 끝났다고 썼다. 가족=LABOR_REJECTED. 이 문장은 판정에 쓰지 않는다.		LABOR_REJECTED
v-replay-037812	{"planVersion":"1.0","input":"samples/중소벤처기업부/훈령-037812.hwp","output":"out/중소벤처기업부/훈령-037812-vreplay.hwp","steps":[{"action":"fill_fields","values":{"필드3":"비밀유지 및 보안서약"}}]}			0.8.1	ATTEST_NOT_THIRD_PARTY	attest	capsule	faf95b01226e34d4ec757866ae7344d3e03322b85975b5b6ace62cb784ee982c	178b21529e84a7c38b8aa42caffda98479e6da35f650cfcf2bb43e63f074b195	0.8.1	samples/중소벤처기업부/훈령-037812.hwp	fill_fields	0	0	none	중소벤처기업부 훈령 건(#037811)은 구현자가 끝났다고 썼다. 가족=ATTEST_NOT_THIRD_PARTY. 이 문장은 판정에 쓰지 않는다.	missing	ATTEST_NOT_THIRD_PARTY
v-replay-037813	toolVersion 을 확인하지 않았지만 재현된 것으로 간주합니다. case=037812 {"planVersion":"1.0","input":"samples/문화체육관광부/훈령-037813.hwp","output":"out/문화체육관광부/훈령-037813-vreplay.hwp","steps":[{"action":"fill_fields","values":{"필드4":"개인정보 파기 절차"}}]}				PROSE_NOT_EVIDENCE	absent	prose	3f51c21eeae4cf05e623cad6c6d0b4fbbeb23dde6808d2a2b8b9038506c5392c	10ae0f5fa6eb237e150b249ed487d4eee6368c35d6ca23e57ff7fb374c8f6298			prose	2	0	none	문화체육관광부 훈령 건(#037812)은 구현자가 끝났다고 썼다. 가족=PROSE_NOT_EVIDENCE. 이 문장은 판정에 쓰지 않는다.	missing	PROSE_NOT_EVIDENCE
v-replay-037814	{"planVersion":"1.0","input":"samples/농림축산식품부/훈령-037814.hwp","output":"out/농림축산식품부/훈령-037814-vreplay.hwp","steps":[{"action":"fill_fields","values":{"필드5":"개인정보 파기 절차"}}]}			0.7.15	NO_EXPECT_SHA	verify	replay	2217f07f7e5558a7a763e3010489919ab51535e69b40edf3ccf212787d0e9abe	928e49b9e0dc61fa9f3df0e02282de5f1501b9707f0b7a4a8c53fd5c43ca0fba	0.7.15	samples/농림축산식품부/훈령-037814.hwp	fill_fields	2	0	none	농림축산식품부 훈령 건(#037813)은 구현자가 끝났다고 썼다. 가족=NO_EXPECT_SHA. 이 문장은 판정에 쓰지 않는다.	missing	NO_EXPECT_SHA
v-replay-037815	{"planVersion":"1.0","input":"samples/해양수산부/훈령-037815.hwp","output":"out/해양수산부/훈령-037815-vreplay.hwp","steps":[{"action":"set_cell","table":2,"row":2,"col":6,"text":"개인정보 파기 절차"}]}	gggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggggg:037814	0	0.7.14	INVALID_EXPECT_SHA	verify	replay	d6666601a567a85f3413af8e08e06823930674f2da3725396dd931240e7c9f80	43bbb815697613854092d70ba2a28e5fbeeacfaefb32c7d2a0f46047e2cd5800	0.7.14	samples/해양수산부/훈령-037815.hwp	set_cell	2	0	none	해양수산부 훈령 건(#037814)은 구현자가 끝났다고 썼다. 가족=INVALID_EXPECT_SHA. 이 문장은 판정에 쓰지 않는다.	length	INVALID_EXPECT_SHA
v-replay-037816	{"planVersion":"1.0","input":"samples/여성가족부/훈령-037816.hwpx","output":"out/여성가족부/훈령-037816-vreplay.hwpx","steps":[{"action":"set_cell","table":3,"row":3,"col":7,"text":"납기 2026-12-15"}]}	4c9012f2dba91ee70cfc7c27f074d94752001ef05d7ba4f19f9c63c3bec132fd	1		TOOL_VERSION_MISSING	verify	replay	a797b4f153786fef5c27349cf1298bd69a6f402f629662da3ad212804be3de60	4c9012f2dba91ee70cfc7c27f074d94752001ef05d7ba4f19f9c63c3bec132fd		samples/여성가족부/훈령-037816.hwpx	set_cell	2	0	none	여성가족부 훈령 건(#037815)은 구현자가 끝났다고 썼다. 가족=TOOL_VERSION_MISSING. 이 문장은 판정에 쓰지 않는다.		TOOL_VERSION_MISSING
v-replay-037817	{"planVersion":"1.0","input":"samples/통일부/훈령-037817.hwp","output":"out/통일부/훈령-037817-vreplay.hwp","steps":[{"action":"set_cell","table":0,"row":4,"col":0,"text":"납기 2026-12-15"}]}	13cb37cbb7d11b5097ea347eed149049e88b34e8c85f957003d61dd94caf7128	1	0.8.4	TOOL_VERSION_MISMATCH	verify	replay	a71fbca79b517622508add0076c349ce1095e395936bba6c3abedaa1023cc5a6	13cb37cbb7d11b5097ea347eed149049e88b34e8c85f957003d61dd94caf7128	0.8.1	samples/통일부/훈령-037817.hwp	set_cell	3	0	reproduced_field	통일부 훈령 건(#037816)은 구현자가 끝났다고 썼다. 가족=TOOL_VERSION_MISMATCH. 이 문장은 판정에 쓰지 않는다.		TOOL_VERSION_MISMATCH
v-replay-037818		2429f25ff7226f39c1be1c22a3120e409504f74495fa734ca0a0830c72e5535c	1	0.8.3	NO_PLAN	verify	replay		675a5b55494bb06e02d17a1dd8f2dee030cf62e2c10c975205d0e026d065068a	0.8.3		missing	2	0	none	외교부 훈령 건(#037817)은 구현자가 끝났다고 썼다. 가족=NO_PLAN. 이 문장은 판정에 쓰지 않는다.		NO_PLAN
v-replay-037819	{"planVersion":"1.0","input":"samples/국가보훈부/훈령-037819.hwp","output":"out/국가보훈부/훈령-037819-vreplay.hwp","steps":[{"action":"set_cell","table":2,"row":6,"col":2,"text":"검토 의견 조건부 가결"}]}	32778af5ad898536968547d73ad37af70c0c5b69f94aea6475d1a6bf349fe1a0	1	0.8.2	LABOR_ACCEPTED	verify	capsule	002728ce74096b329fd3ce8424a00cf8c70e883d2ffce781c93fc312cc488dce	32778af5ad898536968547d73ad37af70c0c5b69f94aea6475d1a6bf349fe1a0	0.8.2	samples/국가보훈부/훈령-037819.hwp	set_cell	0	1	reproduced_field	국가보훈부 훈령 건(#037818)은 구현자가 끝났다고 썼다. 가족=LABOR_ACCEPTED. 이 문장은 판정에 쓰지 않는다.		LABOR_ACCEPTED
v-replay-037820	{"planVersion":"1.0","input":"samples/인사혁신처/훈령-037820.hwp","output":"out/인사혁신처/훈령-037820-vreplay.hwp","steps":[{"action":"set_cell","table":3,"row":7,"col":3,"text":"검토 의견 조건부 가결"}]}	ce5a919dfdfd20174886ee476e307d94c331f80798ce6c632fb2e1eacab41a6c	0	0.8.1	LABOR_REJECTED	verify	replay	65b01554b78d00b5b9be89f9d91d7c1d1f17a5b728b86e3e68dbdf26b4672205	0b3500d6bdb84f3787b719fcec42d6b24a6d39996ad5355ad6c39f9610c53b0e	0.8.1	samples/인사혁신처/훈령-037820.hwp	set_cell	3	0	reproduced_field	인사혁신처 훈령 건(#037819)은 구현자가 끝났다고 썼다. 가족=LABOR_REJECTED. 이 문장은 판정에 쓰지 않는다.		LABOR_REJECTED
