id	attest_version	verify_version	reproduced	accepted	reason	family
tvg-004000	0.0.8	0.6.8	true	false	STALE_TOOL	minor_drift
tvg-004001	0.0.8	0.6.8	false	false	STALE_AND_NOT_REPRODUCED	minor_drift
tvg-004002	0.0.8	0.6.9	true	false	STALE_TOOL	minor_drift
tvg-004003	0.0.8	0.6.9	false	false	STALE_AND_NOT_REPRODUCED	minor_drift
tvg-004004	0.0.8	0.6.10	true	false	STALE_TOOL	minor_drift
tvg-004005	0.0.8	0.6.10	false	false	STALE_AND_NOT_REPRODUCED	minor_drift
tvg-004006	0.0.8	0.6.11	true	false	STALE_TOOL	minor_drift
tvg-004007	0.0.8	0.6.11	false	false	STALE_AND_NOT_REPRODUCED	minor_drift
tvg-004008	0.0.8	0.6.12	true	false	STALE_TOOL	minor_drift
tvg-004009	0.0.8	0.6.12	false	false	STALE_AND_NOT_REPRODUCED	minor_drift
tvg-004010	0.0.8	0.6.13	true	false	STALE_TOOL	minor_drift
tvg-004011	0.0.8	0.6.13	false	false	STALE_AND_NOT_REPRODUCED	minor_drift
tvg-004012	0.0.8	0.6.14	true	false	STALE_TOOL	minor_drift
tvg-004013	0.0.8	0.6.14	false	false	STALE_AND_NOT_REPRODUCED	minor_drift
tvg-004014	0.0.8	0.6.15	true	false	STALE_TOOL	minor_drift
tvg-004015	0.0.8	0.6.15	false	false	STALE_AND_NOT_REPRODUCED	minor_drift
tvg-004016	0.0.8	0.7.0	true	false	STALE_TOOL	minor_drift
tvg-004017	0.0.8	0.7.0	false	false	STALE_AND_NOT_REPRODUCED	minor_drift
tvg-004018	0.0.8	0.7.1	true	false	STALE_TOOL	minor_drift
tvg-004019	0.0.8	0.7.1	false	false	STALE_AND_NOT_REPRODUCED	minor_drift
tvg-004020	0.0.8	0.7.2	true	false	STALE_TOOL	minor_drift
tvg-004021	0.0.8	0.7.2	false	false	STALE_AND_NOT_REPRODUCED	minor_drift
tvg-004022	0.0.8	0.7.3	true	false	STALE_TOOL	minor_drift
