id	attest_version	verify_version	reproduced	accepted	reason	family
tvg-000000	0.0.0	0.0.0	true	true	FRESH_REPRODUCED	exact_match
tvg-000001	0.0.0	0.0.0	false	false	FRESH_NOT_REPRODUCED	exact_match
tvg-000002	0.0.0	0.0.1	true	false	STALE_TOOL	patch_drift
tvg-000003	0.0.0	0.0.1	false	false	STALE_AND_NOT_REPRODUCED	patch_drift
tvg-000004	0.0.0	0.0.2	true	false	STALE_TOOL	patch_drift
tvg-000005	0.0.0	0.0.2	false	false	STALE_AND_NOT_REPRODUCED	patch_drift
tvg-000006	0.0.0	0.0.3	true	false	STALE_TOOL	patch_drift
tvg-000007	0.0.0	0.0.3	false	false	STALE_AND_NOT_REPRODUCED	patch_drift
tvg-000008	0.0.0	0.0.4	true	false	STALE_TOOL	patch_drift
tvg-000009	0.0.0	0.0.4	false	false	STALE_AND_NOT_REPRODUCED	patch_drift
tvg-000010	0.0.0	0.0.5	true	false	STALE_TOOL	patch_drift
tvg-000011	0.0.0	0.0.5	false	false	STALE_AND_NOT_REPRODUCED	patch_drift
tvg-000012	0.0.0	0.0.6	true	false	STALE_TOOL	patch_drift
tvg-000013	0.0.0	0.0.6	false	false	STALE_AND_NOT_REPRODUCED	patch_drift
tvg-000014	0.0.0	0.0.7	true	false	STALE_TOOL	patch_drift
tvg-000015	0.0.0	0.0.7	false	false	STALE_AND_NOT_REPRODUCED	patch_drift
tvg-000016	0.0.0	0.0.8	true	false	STALE_TOOL	patch_drift
tvg-000017	0.0.0	0.0.8	false	false	STALE_AND_NOT_REPRODUCED	patch_drift
tvg-000018	0.0.0	0.0.9	true	false	STALE_TOOL	patch_drift
tvg-000019	0.0.0	0.0.9	false	false	STALE_AND_NOT_REPRODUCED	patch_drift
tvg-000020	0.0.0	0.0.10	true	false	STALE_TOOL	patch_drift
tvg-000021	0.0.0	0.0.10	false	false	STALE_AND_NOT_REPRODUCED	patch_drift
tvg-000022	0.0.0	0.0.11	true	false	STALE_TOOL	patch_drift
tvg-000023	0.0.0	0.0.11	false	false	STALE_AND_NOT_REPRODUCED	patch_drift
tvg-000024	0.0.0	0.0.12	true	false	STALE_TOOL	patch_drift
tvg-000025	0.0.0	0.0.12	false	false	STALE_AND_NOT_REPRODUCED	patch_drift
tvg-000026	0.0.0	0.0.13	true	false	STALE_TOOL	patch_drift
tvg-000027	0.0.0	0.0.13	false	false	STALE_AND_NOT_REPRODUCED	patch_drift
tvg-000028	0.0.0	0.0.14	true	false	STALE_TOOL	patch_drift
tvg-000029	0.0.0	0.0.14	false	false	STALE_AND_NOT_REPRODUCED	patch_drift
tvg-000030	0.0.0	0.0.15	true	false	STALE_TOOL	patch_drift
tvg-000031	0.0.0	0.0.15	false	false	STALE_AND_NOT_REPRODUCED	patch_drift
