case_id	command	exit	identical	has_signal	reproduced	page_count_a	page_count_b	page_count_mismatch	struct_status	struct_node	page_count_node	verify_identical	verify_diff_count	diff_count	fail_count	pass_count	verdict	regression	status	clean	signal_count	valid	finding_count	overflow_count	overlap_count	empty_page_count	expected	contradiction_id	success_tokens	fail_tokens	sample	source_format	agency	doc_kind	year	family
v-abstain-072241	info	0				9				page/2/para/3/run/1	page/2/para/3/run/1						fail									2	abstain	exit0_and_verdict_fail	exit=0	verdict=fail	samples/통계청/2025/현장점검-업무계획-072241.hwp	hwp	통계청	업무계획	2025	현장점검
v-abstain-072242	info	0				9	10	1		page/2/para/3/run/1	page/2/para/3/run/1															2	abstain	exit0_and_pagecount_mismatch	exit=0	pageCountMismatch=true|pageCountA!=pageCountB	samples/기상청/2025/현장점검-업무계획-072242.hwpx	hwpx	기상청	업무계획	2025	현장점검
v-abstain-072243	info	0				9			STRUCT_MISMATCH	page/2/para/3/run/1	page/2/para/3/run/1/alt															2	abstain	exit0_and_struct_mismatch	exit=0	struct=STRUCT_MISMATCH	samples/관세청/2025/현장점검-업무계획-072243.hwp	hwp	관세청	업무계획	2025	현장점검
v-abstain-072244	info	3				9				page/2/para/3/run/1	page/2/para/3/run/1						pass									2	abstain	exit3_and_verdict_pass	verdict=pass	exit=3	samples/검찰청/2025/현장점검-업무계획-072244.hwpx	hwpx	검찰청	업무계획	2025	현장점검
v-abstain-072245	info	3	1	0	1	9				page/2/para/3/run/1	page/2/para/3/run/1				0											2	abstain	reproduced_and_exit3	identical=true|hasSignal=false|reproduced=true|failCount=0	exit=3	samples/경찰청/2025/현장점검-업무계획-072245.hwp	hwp	경찰청	업무계획	2025	현장점검
v-abstain-072246	info	4				9	9	0		page/2/para/3/run/1	page/2/para/3/run/1															2	abstain	exit4_and_pagecount_ok	pageCountMismatch=false|pageCountA==pageCountB	exit=4	samples/소방청/2025/현장점검-업무계획-072246.hwpx	hwpx	소방청	업무계획	2025	현장점검
v-abstain-072247	info	0		0		9				page/2/para/3/run/1	page/2/para/3/run/1													1		2	abstain	has_signal_false_and_counts	hasSignal=false|exit=0	overflowCount>0	samples/해양경찰청/2025/현장점검-업무계획-072247.hwp	hwp	해양경찰청	업무계획	2025	현장점검
v-abstain-072248	info	0		0		9				page/2/para/3/run/1	page/2/para/3/run/1														1	2	abstain	has_signal_false_and_counts	hasSignal=false|exit=0	overlapCount>0	samples/병무청/2025/현장점검-업무계획-072248.hwpx	hwpx	병무청	업무계획	2025	현장점검
v-abstain-072249	info	0		0		9				page/2/para/3/run/1	page/2/para/3/run/1										1					2	abstain	has_signal_false_and_counts	hasSignal=false|exit=0	signalCount>0	samples/산림청/2025/현장점검-업무계획-072249.hwp	hwp	산림청	업무계획	2025	현장점검
v-abstain-072250	info	3		1		9				page/2/para/3/run/1	page/2/para/3/run/1										0		0	0	0	2	abstain	has_signal_true_and_zero_counts	signalCount=0|findingCount=0|overflowCount=0|overlapCount=0	hasSignal=true|exit=3	samples/농촌진흥청/2016/현장점검-업무계획-072250.hwpx	hwpx	농촌진흥청	업무계획	2016	현장점검
v-abstain-072251	info	3				9				page/2/para/3/run/1	page/2/para/3/run/1									1			1			2	abstain	clean_true_and_findings	clean=true	findingCount>0|exit=3	samples/중소벤처기업부/2016/현장점검-업무계획-072251.hwp	hwp	중소벤처기업부	업무계획	2016	현장점검
v-abstain-072252	info	3				9				page/2/para/3/run/1	page/2/para/3/run/1				1							1				2	abstain	valid_true_and_failcount	valid=true	failCount>0|exit=3	samples/과학기술정보통신부/2016/현장점검-업무계획-072252.hwpx	hwpx	과학기술정보통신부	업무계획	2016	현장점검
v-abstain-072253	info	3				9				page/2/para/3/run/1	page/2/para/3/run/1							1	OK							2	abstain	regression_true_and_status_ok	status=OK	regression=true|exit=3	samples/문화체육관광부/2016/현장점검-업무계획-072253.hwp	hwp	문화체육관광부	업무계획	2016	현장점검
v-abstain-072254	info	3				9				page/2/para/3/run/1	page/2/para/3/run/1							0	FAIL							2	abstain	regression_false_and_status_fail	regression=false	status=FAIL|exit=3	samples/환경부/2016/현장점검-업무계획-072254.hwpx	hwpx	환경부	업무계획	2016	현장점검
v-abstain-072255	info	3	1			9				page/2/para/3/run/1	page/2/para/3/run/1							1								2	abstain	exit3_and_success_fields	identical=true	regression=true|exit=3	samples/해양수산부/2016/현장점검-업무계획-072255.hwp	hwp	해양수산부	업무계획	2016	현장점검
v-abstain-072256	info	3	1			9				page/2/para/3/run/1	page/2/para/3/run/1									0						2	abstain	exit3_and_success_fields	identical=true	clean=false|exit=3	samples/법제처/2016/현장점검-예산서-072256.hwpx	hwpx	법제처	예산서	2016	현장점검
v-abstain-072257	info	3	1			9				page/2/para/3/run/1	page/2/para/3/run/1											0				2	abstain	exit3_and_success_fields	identical=true	valid=false|exit=3	samples/행정안전부/2016/현장점검-예산서-072257.hwp	hwp	행정안전부	예산서	2016	현장점검
v-abstain-072258	info	1	0		1	9				page/2/para/3/run/1	page/2/para/3/run/1															2	abstain	reproduced_and_identical_false	reproduced=true	identical=false|exit=1	samples/국세청/2016/현장점검-예산서-072258.hwpx	hwpx	국세청	예산서	2016	현장점검
v-abstain-072259	info	3				9				page/2/para/3/run/1	page/2/para/3/run/1				1				OK							2	abstain	status_ok_and_failcount	status=OK	failCount>0|exit=3	samples/대법원/2016/현장점검-예산서-072259.hwp	hwp	대법원	예산서	2016	현장점검
v-abstain-072260	info	3				9				page/2/para/3/run/1	page/2/para/3/run/1				0	1	fail									2	abstain	passcount_and_verdict_fail	failCount=0	verdict=fail|exit=3	samples/특허청/2016/현장점검-예산서-072260.hwpx	hwpx	특허청	예산서	2016	현장점검
v-abstain-072261	info	0	1	1		9				page/2/para/3/run/1	page/2/para/3/run/1															3	abstain	identical_and_has_signal	identical=true|exit=0	hasSignal=true	samples/교육부/2016/현장점검-예산서-072261.hwp	hwp	교육부	예산서	2016	현장점검
v-abstain-072262	info	3			1	9				page/2/para/3/run/1	page/2/para/3/run/1															3	abstain	reproduced_and_exit3	reproduced=true	exit=3	samples/보건복지부/2016/현장점검-예산서-072262.hwpx	hwpx	보건복지부	예산서	2016	현장점검
v-abstain-072263	info	4			1	9				page/2/para/3/run/1	page/2/para/3/run/1															3	abstain	reproduced_and_exit4	reproduced=true	exit=4	samples/국토교통부/2016/현장점검-예산서-072263.hwp	hwp	국토교통부	예산서	2016	현장점검
v-abstain-072264	info	1				9	9	0	STRUCT_MISMATCH	page/2/para/3/run/1	page/2/para/3/run/1															3	abstain	pagecount_match_and_struct_same_node	pageCountMismatch=false|pageCountA==pageCountB	struct=STRUCT_MISMATCH|exit=1	samples/고용노동부/2016/현장점검-예산서-072264.hwpx	hwpx	고용노동부	예산서	2016	현장점검
v-abstain-072265	info	1				9	9	1		page/2/para/3/run/1	page/2/para/3/run/1															3	abstain	pagecount_equal_and_mismatch_flag	pageCountA==pageCountB	pageCountMismatch=true|exit=1	samples/외교부/2016/현장점검-예산서-072265.hwp	hwp	외교부	예산서	2016	현장점검
v-abstain-072266	info	1				9	10	0		page/2/para/3/run/1	page/2/para/3/run/1															3	abstain	pagecount_unequal_and_match_flag	pageCountMismatch=false	pageCountA!=pageCountB|exit=1	samples/기획재정부/2016/현장점검-예산서-072266.hwpx	hwpx	기획재정부	예산서	2016	현장점검
v-abstain-072267	info	3				9				page/2/para/3/run/1	page/2/para/3/run/1	1	1													3	abstain	verify_identical_and_diffcount	verify.identical=true	verify.diffCount>0|exit=3	samples/공정거래위원회/2017/현장점검-예산서-072267.hwp	hwp	공정거래위원회	예산서	2017	현장점검
v-abstain-072268	info	3				9				page/2/para/3/run/1	page/2/para/3/run/1	0	0													3	abstain	verify_false_and_zero_diff	verify.diffCount=0	verify.identical=false|exit=3	samples/금융위원회/2017/현장점검-예산서-072268.hwpx	hwpx	금융위원회	예산서	2017	현장점검
v-abstain-072269	info	3	1			9				page/2/para/3/run/1	page/2/para/3/run/1			1												3	abstain	identical_and_diffcount	identical=true	diffCount>0|exit=3	samples/방송통신위원회/2017/현장점검-예산서-072269.hwp	hwp	방송통신위원회	예산서	2017	현장점검
v-abstain-072270	info	3	1			9				page/2/para/3/run/1	page/2/para/3/run/1				1											3	abstain	identical_and_failcount	identical=true	failCount>0|exit=3	samples/개인정보보호위원회/2017/현장점검-예산서-072270.hwpx	hwpx	개인정보보호위원회	예산서	2017	현장점검
v-abstain-072271	info	3	1			9				page/2/para/3/run/1	page/2/para/3/run/1	0														3	abstain	identical_and_verify_false	identical=true	verify.identical=false|exit=3	samples/국민권익위원회/2017/현장점검-예산서-072271.hwp	hwp	국민권익위원회	예산서	2017	현장점검
v-abstain-072272	info	3				9				page/2/para/3/run/1	page/2/para/3/run/1				1		pass									3	abstain	verdict_pass_and_failcount	verdict=pass	failCount>0|exit=3	samples/국가인권위원회/2017/현장점검-예산서-072272.hwpx	hwpx	국가인권위원회	예산서	2017	현장점검
v-abstain-072273	info	3	0			9				page/2/para/3/run/1	page/2/para/3/run/1						pass									3	abstain	verdict_pass_and_identical_false	verdict=pass	identical=false|exit=3	samples/통계청/2017/현장점검-예산서-072273.hwp	hwp	통계청	예산서	2017	현장점검
v-abstain-072274	info	3	1			9				page/2/para/3/run/1	page/2/para/3/run/1				0		fail									3	abstain	verdict_fail_and_clean_success	identical=true|failCount=0	verdict=fail|exit=3	samples/기상청/2017/현장점검-예산서-072274.hwpx	hwpx	기상청	예산서	2017	현장점검
v-abstain-072275	info	0	0			9				page/2/para/3/run/1	page/2/para/3/run/1															3	abstain	exit0_and_identical_false	exit=0	identical=false	samples/관세청/2017/현장점검-예산서-072275.hwp	hwp	관세청	예산서	2017	현장점검
v-abstain-072276	info	0			0	9				page/2/para/3/run/1	page/2/para/3/run/1															3	abstain	exit0_and_reproduced_false	exit=0	reproduced=false	samples/검찰청/2017/현장점검-예산서-072276.hwpx	hwpx	검찰청	예산서	2017	현장점검
v-abstain-072277	info	0				9				page/2/para/3/run/1	page/2/para/3/run/1						fail									3	abstain	exit0_and_verdict_fail	exit=0	verdict=fail	samples/경찰청/2017/현장점검-예산서-072277.hwp	hwp	경찰청	예산서	2017	현장점검
v-abstain-072278	info	0				9	10	1		page/2/para/3/run/1	page/2/para/3/run/1															3	abstain	exit0_and_pagecount_mismatch	exit=0	pageCountMismatch=true|pageCountA!=pageCountB	samples/소방청/2017/현장점검-예산서-072278.hwpx	hwpx	소방청	예산서	2017	현장점검
v-abstain-072279	info	0				9			STRUCT_MISMATCH	page/2/para/3/run/1	page/2/para/3/run/1/alt															3	abstain	exit0_and_struct_mismatch	exit=0	struct=STRUCT_MISMATCH	samples/해양경찰청/2017/현장점검-예산서-072279.hwp	hwp	해양경찰청	예산서	2017	현장점검
v-abstain-072280	info	3				9				page/2/para/3/run/1	page/2/para/3/run/1						pass									3	abstain	exit3_and_verdict_pass	verdict=pass	exit=3	samples/병무청/2017/현장점검-예산서-072280.hwpx	hwpx	병무청	예산서	2017	현장점검
v-abstain-072281	info	3	1	0	1	9				page/2/para/3/run/1	page/2/para/3/run/1				0											3	abstain	reproduced_and_exit3	identical=true|hasSignal=false|reproduced=true|failCount=0	exit=3	samples/산림청/2017/현장점검-예산서-072281.hwp	hwp	산림청	예산서	2017	현장점검
v-abstain-072282	info	4				9	9	0		page/2/para/3/run/1	page/2/para/3/run/1															3	abstain	exit4_and_pagecount_ok	pageCountMismatch=false|pageCountA==pageCountB	exit=4	samples/농촌진흥청/2017/현장점검-예산서-072282.hwpx	hwpx	농촌진흥청	예산서	2017	현장점검
v-abstain-072283	info	0		0		9				page/2/para/3/run/1	page/2/para/3/run/1													1		3	abstain	has_signal_false_and_counts	hasSignal=false|exit=0	overflowCount>0	samples/중소벤처기업부/2017/현장점검-예산서-072283.hwp	hwp	중소벤처기업부	예산서	2017	현장점검
v-abstain-072284	info	0		0		9				page/2/para/3/run/1	page/2/para/3/run/1														1	3	abstain	has_signal_false_and_counts	hasSignal=false|exit=0	overlapCount>0	samples/과학기술정보통신부/2018/현장점검-예산서-072284.hwpx	hwpx	과학기술정보통신부	예산서	2018	현장점검
