case_id	command	exit	identical	has_signal	reproduced	page_count_a	page_count_b	page_count_mismatch	struct_status	struct_node	page_count_node	verify_identical	verify_diff_count	diff_count	fail_count	pass_count	verdict	regression	status	clean	signal_count	valid	finding_count	overflow_count	overlap_count	empty_page_count	expected	contradiction_id	success_tokens	fail_tokens	sample	source_format	agency	doc_kind	year	family
v-abstain-102341	info	3	1			14				page/0/table/0/cell/0/0	page/0/table/0/cell/0/0			4												0	abstain	identical_and_diffcount	identical=true	diffCount>0|exit=3	samples/교육부/2016/내부결재-예산서-102341.hwp	hwp	교육부	예산서	2016	내부결재
v-abstain-102342	info	3	1			14				page/0/table/0/cell/0/0	page/0/table/0/cell/0/0				4											0	abstain	identical_and_failcount	identical=true	failCount>0|exit=3	samples/보건복지부/2016/내부결재-예산서-102342.hwpx	hwpx	보건복지부	예산서	2016	내부결재
v-abstain-102343	info	3				14				page/0/table/0/cell/0/0	page/0/table/0/cell/0/0				4		pass									0	abstain	verdict_pass_and_failcount	verdict=pass	failCount>0|exit=3	samples/국토교통부/2016/내부결재-예산서-102343.hwp	hwp	국토교통부	예산서	2016	내부결재
v-abstain-102344	info	0				14	18	1		page/0/table/0/cell/0/0	page/0/table/0/cell/0/0															0	abstain	exit0_and_pagecount_mismatch	exit=0	pageCountMismatch=true|pageCountA!=pageCountB	samples/고용노동부/2016/내부결재-예산서-102344.hwpx	hwpx	고용노동부	예산서	2016	내부결재
v-abstain-102345	info	0		0		14				page/0/table/0/cell/0/0	page/0/table/0/cell/0/0													4		0	abstain	has_signal_false_and_counts	hasSignal=false|exit=0	overflowCount>0	samples/외교부/2016/내부결재-예산서-102345.hwp	hwp	외교부	예산서	2016	내부결재
v-abstain-102346	info	0		0		14				page/0/table/0/cell/0/0	page/0/table/0/cell/0/0														4	0	abstain	has_signal_false_and_counts	hasSignal=false|exit=0	overlapCount>0	samples/기획재정부/2016/내부결재-예산서-102346.hwpx	hwpx	기획재정부	예산서	2016	내부결재
v-abstain-102347	info	0		0		14				page/0/table/0/cell/0/0	page/0/table/0/cell/0/0										4					0	abstain	has_signal_false_and_counts	hasSignal=false|exit=0	signalCount>0	samples/공정거래위원회/2016/내부결재-예산서-102347.hwp	hwp	공정거래위원회	예산서	2016	내부결재
v-abstain-102348	info	3				14				page/0/table/0/cell/0/0	page/0/table/0/cell/0/0									1			4			0	abstain	clean_true_and_findings	clean=true	findingCount>0|exit=3	samples/금융위원회/2016/내부결재-예산서-102348.hwpx	hwpx	금융위원회	예산서	2016	내부결재
v-abstain-102349	info	3				14				page/0/table/0/cell/0/0	page/0/table/0/cell/0/0				4							1				0	abstain	valid_true_and_failcount	valid=true	failCount>0|exit=3	samples/방송통신위원회/2016/내부결재-예산서-102349.hwp	hwp	방송통신위원회	예산서	2016	내부결재
v-abstain-102350	info	3				14				page/0/table/0/cell/0/0	page/0/table/0/cell/0/0				4				OK							0	abstain	status_ok_and_failcount	status=OK	failCount>0|exit=3	samples/개인정보보호위원회/2016/내부결재-예산서-102350.hwpx	hwpx	개인정보보호위원회	예산서	2016	내부결재
v-abstain-102351	info	3				14				page/0/table/0/cell/0/0	page/0/table/0/cell/0/0				0	4	fail									0	abstain	passcount_and_verdict_fail	failCount=0	verdict=fail|exit=3	samples/국민권익위원회/2016/내부결재-예산서-102351.hwp	hwp	국민권익위원회	예산서	2016	내부결재
v-abstain-102352	info	1				14	18	0		page/0/table/0/cell/0/0	page/0/table/0/cell/0/0															1	abstain	pagecount_unequal_and_match_flag	pageCountMismatch=false	pageCountA!=pageCountB|exit=1	samples/국가인권위원회/2016/내부결재-예산서-102352.hwpx	hwpx	국가인권위원회	예산서	2016	내부결재
v-abstain-102353	info	3				14				page/0/table/0/cell/0/0	page/0/table/0/cell/0/0	1	4													1	abstain	verify_identical_and_diffcount	verify.identical=true	verify.diffCount>0|exit=3	samples/통계청/2016/내부결재-예산서-102353.hwp	hwp	통계청	예산서	2016	내부결재
v-abstain-102354	info	3	1			14				page/0/table/0/cell/0/0	page/0/table/0/cell/0/0			4												1	abstain	identical_and_diffcount	identical=true	diffCount>0|exit=3	samples/기상청/2016/내부결재-예산서-102354.hwpx	hwpx	기상청	예산서	2016	내부결재
v-abstain-102355	info	3	1			14				page/0/table/0/cell/0/0	page/0/table/0/cell/0/0				4											1	abstain	identical_and_failcount	identical=true	failCount>0|exit=3	samples/관세청/2016/내부결재-예산서-102355.hwp	hwp	관세청	예산서	2016	내부결재
v-abstain-102356	info	3				14				page/0/table/0/cell/0/0	page/0/table/0/cell/0/0				4		pass									1	abstain	verdict_pass_and_failcount	verdict=pass	failCount>0|exit=3	samples/검찰청/2016/내부결재-예산서-102356.hwpx	hwpx	검찰청	예산서	2016	내부결재
v-abstain-102357	info	0				14	18	1		page/0/table/0/cell/0/0	page/0/table/0/cell/0/0															1	abstain	exit0_and_pagecount_mismatch	exit=0	pageCountMismatch=true|pageCountA!=pageCountB	samples/경찰청/2017/내부결재-예산서-102357.hwp	hwp	경찰청	예산서	2017	내부결재
v-abstain-102358	info	0		0		14				page/0/table/0/cell/0/0	page/0/table/0/cell/0/0													4		1	abstain	has_signal_false_and_counts	hasSignal=false|exit=0	overflowCount>0	samples/소방청/2017/내부결재-예산서-102358.hwpx	hwpx	소방청	예산서	2017	내부결재
v-abstain-102359	info	0		0		14				page/0/table/0/cell/0/0	page/0/table/0/cell/0/0														4	1	abstain	has_signal_false_and_counts	hasSignal=false|exit=0	overlapCount>0	samples/해양경찰청/2017/내부결재-예산서-102359.hwp	hwp	해양경찰청	예산서	2017	내부결재
v-abstain-102360	info	0		0		14				page/0/table/0/cell/0/0	page/0/table/0/cell/0/0										4					1	abstain	has_signal_false_and_counts	hasSignal=false|exit=0	signalCount>0	samples/병무청/2017/내부결재-예산서-102360.hwpx	hwpx	병무청	예산서	2017	내부결재
v-abstain-102361	info	3				14				page/0/table/0/cell/0/0	page/0/table/0/cell/0/0									1			4			1	abstain	clean_true_and_findings	clean=true	findingCount>0|exit=3	samples/산림청/2017/내부결재-예산서-102361.hwp	hwp	산림청	예산서	2017	내부결재
