2025 행정업무운영 편람(최종).hwp	35
2025 행정업무운영 편람(최종).hwpx	51
86712_regulatory_analysis.hwp	1
hwpctl_ParameterSetID_Item_v1.2.hwp	29
issue1891/86712_regulatory_analysis.hwpx	1
issue1891_external_bindata_link.hwpx	33
issue1921/59043_regulatory_analysis.hwp	1
issue3637/regulatory_impact_nested_table_escape.hwpx	8
issue4889/18098267_nested_fragment_origin.hwp	87
rowbreak-problem-pages.hwpx	14
table_giant_cell_overfill.hwpx	264
task1718/table_giant_cell_overfill.hwp	18
task2070/hy_ladder3.hwpx	7
task2097/21217935_simsa_jipyo.hwp	24
task2097/75544_pii_bunseok.hwpx	19
